time,chl,phyc,nppv,o2,no3,zooc,dissic,spco2
2024-05-25,0.735329,4.059572,15.911902,287.2837,6.148716,2.490021,2.145003,35.42507
2024-05-26,0.728489,4.026318,16.78697,286.86337,6.112016,2.4595,2.144832,35.483513
2024-05-27,0.731482,4.097072,18.027327,286.70624,6.055866,2.44277,2.14443,35.510265
2024-05-28,0.7385,4.166146,18.43361,286.56775,5.995574,2.432686,2.144067,35.519665
2024-05-29,0.732495,4.08864,17.397486,286.15823,5.967702,2.410954,2.143994,35.54634
2024-05-30,0.714949,4.0147,16.91785,285.67236,5.933554,2.39426,2.143881,35.580814
2024-05-31,0.706105,4.046062,17.664577,285.3845,5.870296,2.395773,2.143486,35.617416
2024-06-01,0.702362,4.128617,18.50054,285.16345,5.787822,2.411125,2.142883,35.65288
2024-06-02,0.697629,4.185723,19.10236,284.8423,5.713283,2.427123,2.142358,35.71409
2024-06-03,0.690366,4.205628,18.738594,284.4307,5.643295,2.439385,2.14191,35.816544
2024-06-04,0.680968,4.203704,18.649296,284.0737,5.57592,2.445723,2.141508,35.93252
2024-06-05,0.674608,4.218464,18.359106,283.79053,5.499143,2.45581,2.141022,36.011024
2024-06-06,0.667868,4.208049,17.748072,283.49316,5.424627,2.462766,2.140516,36.056046
2024-06-07,0.660859,4.147199,16.80888,282.96243,5.359201,2.462163,2.140024,36.10813
2024-06-08,0.653826,4.058697,16.262062,282.37863,5.306458,2.458218,2.13953,36.200413
2024-06-09,0.649994,3.984468,16.613537,281.92133,5.269949,2.443244,2.139165,36.29263
2024-06-10,0.64181,3.945513,16.928705,281.39075,5.235923,2.425056,2.138836,36.36424
2024-06-11,0.632828,3.886902,16.64447,280.83334,5.210038,2.408334,2.138493,36.487076
2024-06-12,0.616559,3.707469,15.544706,280.25565,5.197985,2.374368,2.13841,36.637127
2024-06-13,0.592264,3.504262,14.827511,279.5738,5.219226,2.311726,2.138646,36.712067
2024-06-14,0.584154,3.484173,15.700185,278.86856,5.217623,2.269961,2.138591,36.746243
2024-06-15,0.581085,3.561498,16.068071,278.33295,5.187984,2.25378,2.138212,36.866505
2024-06-16,0.573373,3.591513,15.403864,277.87338,5.146034,2.255065,2.137711,37.00906
2024-06-17,0.562064,3.52321,14.761864,277.41193,5.106237,2.256328,2.137322,37.10743
2024-06-18,0.547886,3.413286,14.329065,276.90427,5.077994,2.244813,2.137152,37.156178
2024-06-19,0.530834,3.303142,13.874045,276.32867,5.05988,2.220306,2.137133,37.196617
2024-06-20,0.518558,3.205272,12.772758,275.78818,5.038638,2.20073,2.137051,37.253857
2024-06-21,0.502726,3.071224,12.29108,275.18362,5.034568,2.171921,2.137118,37.34672
2024-06-22,0.484417,2.966441,12.465961,274.5648,5.037552,2.136332,2.137168,37.462215
2024-06-23,0.474295,2.953625,12.8669,274.12097,5.017826,2.110062,2.136978,37.570164
2024-06-24,0.473501,2.993672,13.130457,273.90265,4.988797,2.10101,2.136587,37.663956
2024-06-25,0.476638,3.042634,13.585313,273.72394,4.963712,2.098706,2.136136,37.735886
2024-06-26,0.479971,3.023376,13.122373,273.36984,4.94615,2.081811,2.135937,37.81854
2024-06-27,0.473522,2.948991,12.699091,272.79886,4.938735,2.056513,2.136041,37.933136
2024-06-28,0.469536,2.90827,12.36174,272.2265,4.9308,2.042997,2.135959,38.047817
2024-06-29,0.468619,2.895601,12.763473,271.73697,4.911052,2.036212,2.135756,38.15592
2024-06-30,0.46417,2.866382,12.719393,271.40198,4.900558,2.015574,2.135755,38.28175
